k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,ProbabilityWeight,ProbabilityWeight-k2,PointProbability,prefix
0.001,0.001,19.987893947,1.50265132566,1.84677917816,6.42,19.995897949,1.50095047524,1.84768544283,6.33,0.00261406684509,0.0333968748516,10.9383553072,0.025195,0.0006421575625,0.0254875,0.1,1
0.001,0.10095,19.8538269135,1.59809904952,1.67685884907,6.31,19.8577288644,1.66983491746,1.69274181884,6.36,0.185551033022,1.58846785755,12.6226569201,0.025195,0.001259120125,0.049975,0.1,2
0.001,0.2009,19.6285142571,1.85282641321,1.41431491883,6.21,19.6458229115,1.55177588794,1.44356676667,6.18,0.350128941694,2.12319696062,13.1306081142,0.025195,0.001259120125,0.049975,0.1,3
0.001,0.30085,19.31985993,1.71495747874,1.29028620353,6.02,19.3836918459,1.67693846923,1.28865065648,5.89,0.546587286916,2.4819994115,13.4608170974,0.025195,0.001259120125,0.049975,0.1,4
0.001,0.4008,17.2821410705,1.79419709855,1.13411480703,5.2,17.4127063532,1.38769384692,1.214560449,5.32,0.712316748959,2.61219696137,12.7205130935,0.025195,0.001259120125,0.049975,0.1,5
0.001,0.50075,13.5589794897,1.98729364682,0.919148125769,3.93,13.472036018,1.39169584792,1.02643662389,4.02,0.848102224569,2.5510961985,11.0296660052,0.025195,0.001259120125,0.049975,0.1,6
0.001,0.6007,10.9944972486,1.68944472236,0.777514146459,3.11,11.1943971986,1.39669834917,0.87393529931,3.31,0.960468541421,2.47193793438,9.80560823771,0.025195,0.001259120125,0.049975,0.1,7
0.001,0.70065,9.51125562781,2.06703351676,0.620984666667,2.57,9.29554777389,1.31035517759,0.837111582637,2.66,1.09253694408,2.47639213932,9.22291774982,0.025195,0.001259120125,0.049975,0.1,8
0.001,0.8006,8.28174087044,1.67043521761,0.598579687221,2.22,8.22991495748,1.47743871936,0.663078766192,2.3,1.29316043904,2.47361743488,8.78150727287,0.025195,0.001259120125,0.049975,0.1,9
0.001,0.90055,7.41570785393,2.07513756878,0.502463035202,1.86,7.26463231616,1.37268634317,0.656043055092,1.95,1.45271174932,2.55050388822,8.67126175453,0.025195,0.001259120125,0.049975,0.1,10
0.001,1.0005,6.56698349175,2.09274637319,0.429092670675,1.56,6.51525762881,1.47293646823,0.573532707754,1.65,1.61113749716,2.56445770805,8.478183798,0.025195,0.001259120125,0.049975,0.1,11
0.001,1.10045,5.9611805903,2.24982491246,0.365366138218,1.23,6.25662831416,1.25442721361,0.60141208441,1.62,1.86461512446,2.73923332101,8.67641959327,0.025195,0.001259120125,0.049975,0.1,12
0.001,1.2004,5.52476238119,2.25212606303,0.286811042253,1.11,5.58009004502,1.37488744372,0.478887196275,1.37,1.86459946107,2.5603065242,8.23707476316,0.025195,0.001259120125,0.049975,0.1,13
0.001,1.30035,5.08284142071,2.19829914957,0.249695570571,0.98,4.92046023012,1.51665832916,0.397816651968,1.11,2.08347758493,2.56242808915,8.20753245023,0.025195,0.001259120125,0.049975,0.1,14
0.001,1.4003,5.0352176088,2.61300650325,0.152071177602,0.87,4.45382691346,1.21910955478,0.472020028359,0.93,2.03436827577,2.70111209078,8.2051456303,0.025195,0.001259120125,0.049975,0.1,15
0.001,1.50025,4.32366183092,2.85222611306,0.16748867656,0.57,4.33606803402,1.51475737869,0.429536756817,0.77,2.36312290453,2.90300978529,8.70607310814,0.025195,0.001259120125,0.049975,0.1,16
0.001,1.6002,4.05302651326,2.48904452226,0.207472524421,0.47,4.31065532766,1.6328164082,0.331406179948,0.73,2.668989029,2.9269805356,8.86968694467,0.025195,0.001259120125,0.049975,0.1,17
0.001,1.70015,4.08444222111,3.14007003502,0.121865444425,0.28,4.37938969485,1.54107053527,0.342775686168,0.78,2.44529450135,2.78516344537,8.6813032642,0.025195,0.001259120125,0.049975,0.1,18
0.001,1.8001,4.19609804902,3.47073536768,0.0975168796219,0.27,4.30275137569,1.68594297149,0.299268048375,0.68,2.77548880556,2.91594797491,9.28237260022,0.025195,0.001259120125,0.049975,0.1,19
0.001,1.90005,4.34317158579,3.71745872936,0.0476257248861,0.19,4.25862931466,1.88374187094,0.287177684015,0.58,2.71492189448,3.01255058134,9.45783114413,0.025195,0.001259120125,0.049975,0.1,20
0.001,2.0,4.8172086043,3.93246623312,0.0810726325573,0.23,4.52036018009,1.55417708854,0.301628382568,0.69,2.77615182629,3.09385478826,9.7328459632,0.025195,0.0006295600625,0.0249875,0.1,21
0.25095,0.001,19.9897948974,1.47783891946,1.87712399561,7.12,20.0,1.37378689345,2.0995547167,7.07,0.471431086508,5.9628068575,17.4684470008,0.04999,0.001274120125,0.0254875,0.1,22
0.25095,0.10095,19.9757878939,1.31545772886,1.63028056353,7.12,19.9937968984,1.34317158579,1.81805570907,7.03,0.479794259183,4.05522031526,15.3656869111,0.04999,0.00249825025,0.049975,0.1,23
0.25095,0.2009,19.8168084042,1.29754877439,1.37041331492,6.97,19.835917959,1.37618809405,1.52936191321,6.95,0.534298833135,3.20090943123,14.3527121976,0.04999,0.00249825025,0.049975,0.1,24
0.25095,0.30085,19.336068034,1.52546273137,1.20337410499,6.71,19.5049524762,1.3667833917,1.37885356717,6.78,0.655577146165,2.92379302164,13.9949055366,0.04999,0.00249825025,0.049975,0.1,25
0.25095,0.4008,17.3502751376,1.86513256628,1.13507739202,5.82,17.9427713857,1.32366183092,1.39422922542,6.17,0.874043965289,3.05749342645,13.6077125088,0.04999,0.00249825025,0.049975,0.1,26
0.25095,0.50075,13.2034017009,1.83061530765,0.908212937017,4.36,13.6498249125,1.32616308154,1.10240309953,4.61,0.909308244224,2.63414191238,11.1590089515,0.04999,0.00249825025,0.049975,0.1,27
0.25095,0.6007,10.7267633817,1.69454727364,0.786205580082,3.49,10.9837918959,1.34617308654,0.926073014942,3.61,0.999805667598,2.4972400951,9.82695376653,0.04999,0.00249825025,0.049975,0.1,28
0.25095,0.70065,9.32786393197,1.54477238619,0.738003286079,2.95,9.57648824412,1.47663831916,0.90086213352,3.04,1.21246581554,2.65847364145,9.52943237966,0.04999,0.00249825025,0.049975,0.1,29
0.25095,0.8006,8.03061530765,1.8068034017,0.579922623111,2.41,8.18569284642,1.21510755378,0.824989230051,2.6,1.28300561713,2.44707522838,8.71725870683,0.04999,0.00249825025,0.049975,0.1,30
0.25095,0.90055,7.30405202601,1.72216108054,0.590566195354,2.18,7.58809404702,1.37498749375,0.752263901705,2.34,1.48246880653,2.59799982174,8.77468053292,0.04999,0.00249825025,0.049975,0.1,31
0.25095,1.0005,6.46473236618,1.60790395198,0.492730344879,1.85,6.72886443222,1.26013006503,0.649851147378,2.03,1.60290916846,2.51023751122,8.29198428988,0.04999,0.00249825025,0.049975,0.1,32
0.25095,1.10045,6.15487743872,1.96888444222,0.393252956896,1.62,6.17218609305,1.09384692346,0.730433011543,1.83,1.91617147352,2.71026886836,8.65906961096,0.04999,0.00249825025,0.049975,0.1,33
0.25095,1.2004,5.18979489745,2.05652826413,0.327504454834,1.19,5.61020510255,1.13816908454,0.582871995351,1.62,1.8513984365,2.49003409694,8.01007960836,0.04999,0.00249825025,0.049975,0.1,34
0.25095,1.30035,5.06593296648,1.94567283642,0.275431770729,1.18,5.30415207604,1.28004002001,0.546628240708,1.47,2.0249336818,2.54126283014,8.12481229596,0.04999,0.00249825025,0.049975,0.1,35
0.25095,1.4003,4.68224112056,2.00370185093,0.239102788639,1.02,4.88484242121,1.29264632316,0.489414325432,1.33,2.05153010761,2.43327416094,7.85990221088,0.04999,0.00249825025,0.049975,0.1,36
0.25095,1.50025,4.49474737369,2.12886443222,0.213255996259,0.92,4.4364182091,1.40330165083,0.455170591697,1.1,2.3429901113,2.61854980614,8.24765299071,0.04999,0.00249825025,0.049975,0.1,37
0.25095,1.6002,4.16378189095,2.35157578789,0.190999050541,0.79,3.99289644822,1.28954477239,0.426071333568,0.87,2.46308355229,2.57946076912,8.16954674638,0.04999,0.00249825025,0.049975,0.1,38
0.25095,1.70015,3.68234117059,2.64392196098,0.17587302451,0.47,4.04412206103,1.18849424712,0.437041279717,0.86,2.84907495346,2.74945933044,8.67683526796,0.04999,0.00249825025,0.049975,0.1,39
0.25095,1.8001,3.5707853927,2.61420710355,0.111875169134,0.36,3.92656328164,1.40830415208,0.391840969857,0.77,2.74937070559,2.7802729004,8.58280253774,0.04999,0.00249825025,0.049975,0.1,40
0.25095,1.90005,3.57508754377,2.67723861931,0.0942159953363,0.33,3.78669334667,1.50365182591,0.317866819123,0.68,2.98040010113,2.70884257946,8.7359420184,0.04999,0.00249825025,0.049975,0.1,41
0.25095,2.0,3.71915957979,3.04692346173,0.0830582903462,0.23,3.95907953977,1.59819909955,0.339813771177,0.65,3.2800645311,2.954873751,9.49237061618,0.04999,0.001249125125,0.0249875,0.1,42
0.5009,0.001,19.9977988994,1.50085042521,1.71729254382,7.72,19.9995997999,1.30285142571,2.10399404954,7.85,0.860786242281,10.9301979819,22.8780452038,0.04999,0.001274120125,0.0254875,0.1,43
0.5009,0.10095,19.9858929465,1.35627813907,1.46760795602,7.72,19.979989995,1.2248124062,1.80810195741,7.8,0.812754030445,6.85796403839,18.5370318044,0.04999,0.00249825025,0.049975,0.1,44
0.5009,0.2009,19.8037018509,1.17988994497,1.31160277129,7.63,19.8529264632,1.34277138569,1.60579349798,7.64,0.830067599553,4.9889808065,16.495225631,0.04999,0.00249825025,0.049975,0.1,45
0.5009,0.30085,18.9186593297,1.50585292646,1.17132803737,7.12,19.2127063532,1.21630815408,1.49395617168,7.42,0.919707574916,4.12806937491,15.366219704,0.04999,0.00249825025,0.049975,0.1,46
0.5009,0.4008,16.3147573787,1.38869434717,1.04135036216,6.14,17.1580790395,1.31125562781,1.29430828519,6.49,0.954151266335,3.44035692382,13.5445119222,0.04999,0.00249825025,0.049975,0.1,47
0.5009,0.50075,12.6156078039,1.72136068034,0.824025729776,4.59,13.411805903,1.179989995,1.13812356051,5.01,1.03053543065,2.9491018782,11.381235803,0.04999,0.00249825025,0.049975,0.1,48
0.5009,0.6007,10.7127563782,1.53116558279,0.800711758978,3.79,11.527863932,1.21470735368,1.10415953944,4.22,1.20832450943,2.98035691054,10.6444681316,0.04999,0.00249825025,0.049975,0.1,49
0.5009,0.70065,9.35027513757,1.58589294647,0.694269588319,3.25,9.85982991496,1.39209604802,1.01201783628,3.56,1.3246597567,2.81374484167,9.92350661703,0.04999,0.00249825025,0.049975,0.1,50
0.5009,0.8006,8.33946973487,1.68244122061,0.630289500636,2.77,8.88694347174,1.23151575788,0.976871246899,3.18,1.5590782709,2.92101892593,9.75618132555,0.04999,0.00249825025,0.049975,0.1,51
0.5009,0.90055,7.11925962981,1.45872936468,0.592825571381,2.35,7.53106553277,1.23691845923,0.878157068266,2.59,1.59909913744,2.72911536038,8.90457446488,0.04999,0.00249825025,0.049975,0.1,52
0.5009,1.0005,6.29324662331,1.6008004002,0.464732364876,1.96,6.76088044022,1.27863931966,0.743804090804,2.26,1.66377502849,2.57591040633,8.43707358602,0.04999,0.00249825025,0.049975,0.1,53
