trajID,iteration,accepted,k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,solutionDeviation,rejectReason,modelRuns,radiusFromBest,radiusFromLast,solutionValue,acquisition
0,0,first,1.27997847606,1.28550401928,4.80566056606,1.2597259726,0.372929205797,1.83,5.44620462046,0.945434543454,0.806718316445,2.25,2.41272101485,2.87608418415,6.09451401032,0.000282360957823,None,1,,,6.09451404577,
0,0,rejected,0.73491513071,0.0360382106239,19.997879788,1.15563556356,1.44018830441,8.44,20.0,1.16761676168,1.89764768066,8.36,1.08475928102,11.8061324393,13.1661326129,0.000282360957823,Not Recommended,2,,,6.09451404577,
0,0,rejected,4.25199846487,0.609879481841,9.73877387739,0.723312331233,0.837922270664,6.85,12.4804880488,0.781178117812,1.96104214409,8.83,4.96282605914,11.5180452445,12.965874735,0.000282360957823,Not Recommended,3,,,6.09451404577,
0,0,rejected,2.77243482386,1.8604606887,3.2803080308,1.14451445145,0.267526738298,1.45,4.01172117212,0.711071107111,0.993838305911,2.1,4.5810224684,3.60047142658,7.60642215529,0.000282360957823,Not Recommended,4,,,6.09451404577,
0,0,rejected,3.274530812,0.934444576161,6.48166816682,0.830183018302,0.698300194538,3.94,8.13071307131,0.725552555256,1.58575320522,5.07,4.29269285287,6.68875938085,9.66671383612,0.000282360957823,Not Recommended,5,,,6.09451404577,
0,1,accepted,1.27997847606,1.28550401928,4.80566056606,1.2597259726,0.372929205797,1.83,5.44620462046,0.945434543454,0.806718316445,2.25,2.41272101485,2.87608418415,6.09451401032,0.000208029487573,,6,0,0.43582134411,6.09451402703,0.359837417956
0,2,rejected,0.0,2.0,4.67524752475,3.699769977,0.0952496665522,0.24,4.42312231223,1.85068506851,0.255236880792,0.62,3.07017192625,3.12513001466,7.20628605994,0.000199224938017,Not Recommended,7,0.439499627513,0.439499627513,6.09451402884,-0.594107909367
0,3,rejected,0.0,1.26988396814,5.44280428043,2.31909190919,0.257521385513,1.04,5.41908190819,1.37219721972,0.499447010847,1.29,2.07744628996,2.78858568724,6.12758467436,0.000197869346837,Not Recommended,8,0.256114803295,0.365058015931,6.09451402477,-3.24544842252
0,4,rejected,5.0,2.0,2.9302930293,0.751815181518,0.349000847936,1.83,3.69320932093,0.644784478448,1.12984790168,2.44,5.89906572164,4.56164250493,8.84363738803,0.000186621578591,Not Recommended,9,0.82532934769,1.06455030647,6.09451402906,-4.54807538021
0,5,accepted,0.76099163593,1.57021499083,3.97659765977,1.59595959596,0.229184161576,1.04,4.41904190419,1.06214621462,0.566335757002,1.41,2.40749423083,2.49757765752,5.60975669767,0.000266384863218,,10,0,0.874612179742,5.60975686945,-5.1185636539
0,6,rejected,0.283116999595,1.51802087401,4.37267726773,2.15673567357,0.180424988459,0.91,4.24496449645,1.21348134813,0.439428513865,1.06,2.26032070966,2.45191366042,5.65894793956,0.000265409108417,Not Recommended,11,0.0990738269153,0.0990738269153,5.60975680293,-5.3981331827
0,7,rejected,0.635580821112,1.44559229047,4.36327632763,1.74737473747,0.244120515621,1.13,4.73361336134,1.08334833483,0.583889980692,1.5,2.31695262805,2.49594807532,5.7388100472,0.000262318790912,Not Recommended,12,0.0671700771161,0.0792508974554,5.6097573032,-5.48278216623
0,8,rejected,1.49878416775,1.55711189323,3.8700870087,1.20422042204,0.314847017096,1.44,4.37783778378,0.860246024602,0.787586476814,1.79,2.99278359489,2.95766758998,6.15036070653,0.000256295179297,Not Recommended,13,0.147703878054,0.181422038781,5.60975770357,-5.37698840003
0,9,rejected,0.59633215283,1.68064357818,3.8602460246,1.8901890189,0.173965747608,0.86,4.07552755276,1.15241524152,0.523267101638,1.17,2.52089940755,2.49573118491,5.70229072012,0.000252611752049,Not Recommended,14,0.0642894084685,0.190766361988,5.60975857045,-5.48311934466
0,10,rejected,0.54103519871,1.57816484865,4.11877187719,1.81482148215,0.219354270459,0.96,4.40600060006,1.18497849785,0.520167513381,1.26,2.60350521712,2.6298008191,5.92702279788,0.0002476613729,Not Recommended,15,0.0441705040819,0.052419296321,5.6097571187,-5.55998687035
0,11,rejected,1.31437482641,2.0,3.22478247825,1.64556455646,0.159922483901,0.88,3.61892189219,0.905130513051,0.580210289162,1.29,3.38376551155,2.67490588127,6.22218493379,0.000241795897213,Not Recommended,16,0.241719065752,0.261549977861,5.6097571339,-3.06909500077
0,12,rejected,1.08390281724,1.76613582075,3.63668366837,1.52291229123,0.221097144994,1.03,4.13407340734,0.916171617162,0.649825375135,1.48,3.19458937115,2.78598876461,6.25117518533,0.000236193631787,Not Recommended,17,0.117333320673,0.12568932916,5.60975711295,-4.52087072742
