trajID,iteration,accepted,k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,solutionDeviation,rejectReason,modelRuns,radiusFromBest,radiusFromLast,solutionValue,acquisition
0,0,first,0.619117227527,0.00508131384968,19.997339734,1.23056305631,1.65350218765,8.09,20.0,1.19735973597,2.10456763344,8.03,1.02732269203,12.7689835052,13.292514042,0.0130530935898,None,1,,,6.5384296192,
0,0,rejected,3.51434685418,1.38604784538,4.15779577958,0.838523852385,0.442799391451,2.42,5.16929692969,0.791879187919,1.08364871748,3.11,4.06592639222,4.44903918407,7.7267131752,0.0130530935898,Not Recommended,2,,,6.5384296192,
0,0,accepted,2.04197211867,1.70064485588,3.54267426743,1.20784078408,0.286168977131,1.42,4.20762076208,0.847724772477,0.810180282397,1.91,3.45870930872,3.14221487896,6.53841948241,0.0130530935898,,3,,,6.5384296192,
0,0,rejected,1.78425740795,1.01844053357,5.72839283928,1.0302030203,0.540556724961,2.65,6.74475447545,0.939073907391,1.00136141747,3.22,2.40496364427,3.66569308863,6.75960605579,0.0130530935898,Not Recommended,4,,,6.5384296192,
0,0,rejected,4.94222665134,0.781802831586,7.60818081808,0.737053705371,0.753787497507,5.6,9.9201120112,0.612821282128,1.97996463287,7.5,5.79125049502,10.3956622351,12.4775639538,0.0130530935898,Not Recommended,5,,,6.5384296192,
0,1,rejected,0.619117227527,0.00508131384968,19.997339734,1.23056305631,1.65350218765,8.09,20.0,1.19735973597,2.10456763344,8.03,1.02732269203,12.7689835052,13.292514042,0.0136009906785,Not Recommended,6,0.894267618173,0.947837054899,6.53843285404,0.0803265345633
0,2,accepted,0.0,1.58882457857,3.97785778578,2.8296629663,0.167952396525,0.37,4.32683268327,1.38207820782,0.370452529494,0.78,2.52905426922,2.83012664312,6.09998152202,0.0140038110629,,7,0,0.801494184503,6.10000946434,-1.96150487297
0,3,rejected,0.0,2.0,4.80138013801,3.85700570057,0.0876085358595,0.23,4.54185418542,1.69882988299,0.281844448646,0.69,2.8777140257,3.03506536416,7.06494509822,0.0135681543462,Not Recommended,8,0.205587710716,0.205587710716,6.10003029257,-3.15149035608
0,4,rejected,5.0,2.0,2.87780778078,0.841424142414,0.30157580315,1.73,3.62556255626,0.582478247825,1.17975066237,2.41,6.06580249211,4.45352011745,8.97525585619,0.0127947061114,Not Recommended,9,1.02091444637,1.0,6.10003213827,-3.80530660782
0,5,accepted,0.967453211859,1.3848877483,4.38259825983,1.44536453645,0.320753995551,1.45,4.75889588959,1.06056605661,0.645762368124,1.68,2.17077204905,2.53856781605,5.57063617991,0.0130456633262,,10,0,0.863161696606,5.57078753639,-4.67738805702
0,6,rejected,0.0,1.14601078839,5.65052505251,2.17467746775,0.285833691411,1.15,5.7900990099,1.2895289529,0.505522316888,1.46,1.68000127062,2.46257747621,5.76772753711,0.0130268139185,Not Recommended,11,0.227385529839,0.227385529839,5.57082344751,-5.0576312804
0,7,rejected,0.579289258183,1.25179399371,5.01720172017,1.55537553755,0.360335463041,1.48,5.3199919992,1.1900390039,0.595938371212,1.7,2.05579440604,2.55873336529,5.7779285101,0.0129163502199,Not Recommended,12,0.102251342656,0.127359975731,5.57126246809,-5.3249351031
0,8,rejected,1.60587578609,1.36876271107,4.26244624462,0.995119511951,0.396146020331,1.81,4.92783278328,1.03798379838,0.724914575184,2.08,2.4402545232,2.92221235714,5.82772858605,0.012738660615,Not Recommended,13,0.127938811695,0.213484463559,5.57171529725,-5.27825523171
0,9,rejected,0.972160239133,1.56755560058,4.00656065607,1.59969997,0.259583520942,1.14,4.47218721872,1.00736073607,0.660330959825,1.54,2.7661926717,2.73839245688,6.04093419404,0.0124937898213,Not Recommended,14,0.0913387776783,0.161069764414,5.57211629725,-5.39549760442
0,10,rejected,1.14122193559,1.28507146928,4.8495849585,1.2800080008,0.397414047535,1.77,5.45674567457,1.05362536254,0.730593707904,2.13,2.3683231512,2.92046803177,6.08151580762,0.196110134479,Not Recommended,15,0.0608164875947,0.145232900532,5.75886866306,-5.43223670615
0,11,rejected,0.0,1.30748050907,5.27464746475,2.35627562756,0.236550635234,0.98,5.16375637564,1.29572957296,0.489168534964,1.25,2.08226875993,2.74472647206,6.01472549615,0.203014472619,Not Recommended,16,0.197323589206,0.228519236645,5.7864228438,-5.3539211891
0,12,accepted,0.621829295033,1.32850651962,4.65704570457,1.57939793979,0.327678746181,1.3,5.1195319532,1.17085708571,0.636723333689,1.61,2.20640212769,2.63866737479,5.8072827457,0.187698624234,,17,0,0.124809415376,5.77566261946,-5.43081028649
0,13,accepted,0.64068382516,1.32965334747,4.78111811181,1.74861486149,0.346046891461,1.33,5.25424542454,1.05896589659,0.69725360646,1.71,2.48959885673,2.83016114274,6.21021920929,0.225502093319,,18,0,0.00381425428862,5.85330413196,-5.48132607164
0,14,accepted,0.887765708301,1.35469496698,4.60070007001,1.46262626263,0.336537505949,1.47,4.97187718772,1.04200420042,0.675545028625,1.74,2.30825220421,2.65542161617,5.82313034896,0.210492050793,,19,0,0.0509779261637,5.84755684488,-5.50639214623
0,15,accepted,0.9549689714,1.35925914502,4.47310731073,1.38909890989,0.313632417832,1.47,4.87564756476,1.13759375938,0.606103060984,1.69,2.09680278704,2.54760164904,5.53655560958,0.221042955866,,20,0,0.0136330140889,5.80476302063,-5.5330208792
0,16,rejected,0.971239681083,1.36147587996,4.53719371937,1.45418541854,0.334649856772,1.49,4.89294929493,1.01718171817,0.690687695246,1.75,2.47351807651,2.76894610463,5.96579549264,0.214681050646,Not Recommended,21,0.0034377199112,0.0034377199112,5.824155532,-5.48225141021
0,17,accepted,0.936524678338,1.35795512953,4.50263026303,1.56879687969,0.309291395891,1.42,4.95633563356,0.953495349535,0.697307733544,1.81,2.33513504223,2.63319836885,5.83112345566,0.204440346506,,22,0,0.00716269345351,5.82499593159,-5.51773719748
0,18,accepted,0.971766527289,1.36029306443,4.5196519652,1.41210121012,0.314244459552,1.5,4.92491249125,1.06142614261,0.662961427571,1.78,2.22695826402,2.57031164173,5.69402060115,0.198791691919,,23,0,0.00714464845871,5.81196956208,-5.53957149553
0,19,accepted,1.01034117713,1.36330653243,4.51821182118,1.42308230823,0.327287051173,1.53,4.8596259626,1.08416841684,0.674801531527,1.76,2.28379236746,2.64560353695,5.76326958835,0.191217344206,,24,0,0.00786068646811,5.80722186131,-5.54020880671
0,20,rejected,1.03980011229,1.36560150653,4.38465846585,1.44678467847,0.314955867307,1.43,4.89798979898,0.914171417142,0.729575301426,1.85,2.34733309389,2.64512310057,5.7688009066,0.183890868475,Not Recommended,25,0.00600248956425,0.00600248956425,5.8033400672,-5.55124617243
0,21,rejected,1.06442874745,1.36763400668,4.59277927793,1.40076007601,0.351193493351,1.6,5.04606460646,0.945314531453,0.756488357674,1.94,2.44014481734,2.76041715907,5.97520833434,0.182825287453,Not Recommended,26,0.0110317890156,0.00502946826296,5.81708138854,-5.56181386344
0,22,accepted,0.982342656325,1.36080714415,4.43850385039,1.47842784278,0.30829573117,1.43,4.85746574657,1.00510051005,0.663963537526,1.75,2.24606085214,2.5735129581,5.67812905342,0.179922921766,,27,0,0.0167683203465,5.80703167104,-5.58211792072
0,23,accepted,1.00455617718,1.36264976127,4.67174717472,1.3901190119,0.337570907053,1.59,5.00692069207,1.05124512451,0.690268183735,1.84,2.27400553311,2.67612380134,5.81194545861,0.174336885166,,28,0,0.00453722710524,5.80722882629,-5.58024179002
0,24,rejected,1.01902295785,1.3639914068,4.48160816082,1.40388038804,0.327449139193,1.52,4.90303030303,0.888848884888,0.720740735922,1.86,2.30401840913,2.55418006528,5.72265466818,0.170139193865,Not Recommended,29,0.00297010318158,0.00297010318158,5.80151021027,-5.59171503616
0,25,rejected,1.04415476483,1.36623904405,4.42742274227,1.35309530953,0.33591243363,1.49,4.92619261926,1.02218221822,0.69685657514,1.82,2.26766938691,2.61520315615,5.70447958756,0.166779759496,Not Recommended,30,0.00812050881924,0.00515046378258,5.79508629219,-5.5950019484
0,26,rejected,1.07215412058,1.36875933354,4.52725272527,1.33429342934,0.340305105524,1.59,4.9603360336,1.07474747475,0.699591758148,1.84,2.36797563834,2.73099158134,5.86542655271,0.16299082832,Not Recommended,31,0.0138604111198,0.00573990606803,5.79919635504,-5.596398715
0,27,rejected,1.0558189426,1.36754515244,4.63336333633,1.46328632863,0.354286345868,1.58,5.09808980898,0.94903490349,0.739094785666,1.95,2.51519201098,2.84170464349,6.09464392619,0.171756767808,Not Recommended,32,0.0105406858606,0.00332296261236,5.81515589467,-5.60853899659
0,28,accepted,0.928111510083,1.35596933161,4.50683068307,1.40726072607,0.327111946752,1.46,4.89240924092,1.09918991899,0.647494951775,1.71,2.16272371517,2.5854975672,5.62410288353,0.172740100609,,33,0,0.0261890709979,5.80517100304,-5.61803873654
0,29,accepted,0.895699316974,1.35287259466,4.55117511751,1.42682268227,0.33394040302,1.51,4.91385138514,1.15897589759,0.615933070208,1.72,2.13476767976,2.551963824,5.63083212941,0.17305172879,,34,0,0.00666479222594,5.79608909407,-5.61043602927
0,30,rejected,0.858755573858,1.34929607106,4.66904690469,1.44280428043,0.350456588429,1.51,5.00744074407,1.1401340134,0.621588864646,1.7,2.23594055716,2.66109516089,5.78826147447,0.169252217438,Not Recommended,35,0.00760207119712,0.00760207119712,5.79580684199,-5.6044092209
0,31,rejected,0.869492912822,1.35028241174,4.54413441344,1.45818581858,0.338120475061,1.42,4.94921492149,1.01684168417,0.708355635164,1.72,2.33162588219,2.6460912685,5.82307153271,0.165495105509,Not Recommended,36,0.00539891532078,0.00220336898938,5.79725854003,-5.61172507571
0,32,rejected,0.8887629938,1.35215685855,4.51313131313,1.52289228923,0.310350329589,1.42,4.85882588259,1.00160016002,0.693890391802,1.7,2.29655070718,2.62379268318,5.76587907807,0.162273320711,Not Recommended,37,0.00143268025438,0.00396633691885,5.79591367768,-5.62027268997
0,33,rejected,0.892244607515,1.35252139947,4.66614661466,1.45712571257,0.345594210746,1.51,5.04318431843,1.08598859886,0.669400784643,1.76,2.37542304716,2.73826253555,5.94410746819,0.161488187929,Not Recommended,38,0.000712906174202,0.000719783219284,5.8021522243,-5.62540841082
0,34,accepted,0.925596325878,1.3558015761,4.44580458046,1.42756275628,0.324427992541,1.45,4.8603460346,1.08782878288,0.610694613698,1.7,2.12496806995,2.51639239339,5.55238962256,0.165428487411,,39,0,0.0068690155326,5.79218611552,-5.63556885109
0,35,rejected,0.89874824188,1.353059089,4.70151015102,1.46882688269,0.321364357307,1.55,4.94695469547,1.10583058306,0.715323689138,1.72,2.29336333607,2.70647152146,5.86263308591,0.162916737364,Not Recommended,40,0.00554193950232,0.00554193950232,5.7949398251,-5.62436722783
0,36,rejected,0.916326200441,1.35482169038,4.44946494649,1.54217421742,0.328401701867,1.38,5.03122312231,0.973717371737,0.711342027424,1.84,2.32680096944,2.63715602392,5.83291295533,0.160190030263,Not Recommended,41,0.00191766864476,0.00362437249633,5.79636448434,-5.63258787781
0,37,rejected,0.926991851831,1.3559292913,4.57929792979,1.59293929393,0.32783434427,1.44,4.99891989199,1.03372337234,0.725445695729,1.77,2.41104242564,2.73454432026,5.98593773103,0.161074293746,Not Recommended,42,0.000286317132892,0.00220384657667,5.80304351238,-5.63945116722
0,38,accepted,0.938310977474,1.35702166197,4.51307130713,1.37253725373,0.344434018675,1.47,4.95645564556,1.0901890189,0.672349228394,1.74,2.32573677866,2.70372180302,5.81204199574,0.158436887444,,43,0,0.00232878136158,5.80335065012,-5.64792445771
0,39,rejected,0.945370677295,1.35779752563,4.69166916692,1.33455345535,0.363311569373,1.61,5.02274227423,1.15703570357,0.648357764694,1.77,2.25521723045,2.68236451396,5.80978302323,0.155915190653,Not Recommended,44,0.00146426280781,0.00146426280781,5.80354065432,-5.65333589762
0,40,accepted,0.951666381008,1.35851398196,4.60904090409,1.31701170117,0.378549081757,1.55,4.99471947195,0.935573557356,0.728987940917,1.81,2.44652073611,2.78155994085,5.93163635238,0.155094566525,,45,0,0.00130910764482,5.80759754998,-5.65839501394
0,41,rejected,0.952060867046,1.35858962545,4.57909790979,1.48296829683,0.326666357282,1.48,4.91741174117,1.02474247425,0.689782806409,1.74,2.34701296584,2.69111098262,5.85313418326,0.152970200162,Not Recommended,46,8.74943079231e-05,8.74943079231e-05,5.80898593179,-5.66563423468
0,42,rejected,0.956884093703,1.3591688047,4.62344234423,1.44258425843,0.32405795922,1.53,4.96241624162,1.0104410441,0.725575499844,1.78,2.3811714505,2.71197082115,5.90423910001,0.151594637616,Not Recommended,47,0.0010936997926,0.00100717563787,5.81182629017,-5.67130399648
